"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Pušæa",2564,17.02,150,10,z,z,z,z,z,z,0.4,0.6,z,z,2564,17.02,150,18,z,z,z,z,z,z,0.7,1.1,z,z,2564,17.02,150,20,z,z,z,z,z,z,0.8,1.2,z,z,2564,17.02,150,28,202,789,7.9,30.8,11.9,46.4,1.1,1.6,3.9,28.2
"Rakovec",1141,34.85,32,-,-,-,-,-,-,-,-,-,-,-,1141,34.85,32,-,-,-,-,-,-,-,-,-,-,-,1141,34.85,32,-,-,-,-,-,-,-,-,-,-,-,1141,34.85,32,6,z,z,z,z,z,z,0.5,0.2,z,z
"Rugvica",7133,93.67,76,8,z,z,z,z,z,z,0.1,0.1,z,z,7133,93.67,76,-,-,-,-,-,-,-,-,-,-,-,7133,93.67,76,5,z,z,z,z,z,z,0.1,0.1,z,z,7133,93.67,76,-,-,-,-,-,-,-,-,-,-,-
"Samobor",37435,251.46,148,387,9691,18570,25.9,49.6,38.5,73.8,1.0,1.5,1.9,48.0,37435,251.46,148,417,15810,28669,42.2,76.6,62.9,114.0,1.1,1.7,1.8,68.8,37435,251.46,148,448,18381,33150,49.1,88.6,73.1,131.8,1.2,1.8,1.8,74.0,37435,251.46,148,502,19421,36352,51.9,97.1,77.2,144.6,1.3,2.0,1.9,72.4
"Stupnik",3886,24.85,156,-,-,-,-,-,-,-,-,-,-,-,3886,24.85,156,-,-,-,-,-,-,-,-,-,-,-,3886,24.85,156,-,-,-,-,-,-,-,-,-,-,-,3886,24.85,156,-,-,-,-,-,-,-,-,-,-,-
"Sveta Nedelja",18221,39.74,458,301,15757,25379,86.5,139.3,396.5,638.6,1.7,7.6,1.6,84.3,18221,39.74,458,309,23536,37457,129.2,205.6,592.2,942.6,1.7,7.8,1.6,121.2,18221,39.74,458,323,25452,42121,139.7,231.2,640.5,1059.9,1.8,8.1,1.7,130.4,18221,39.74,458,334,28801,47473,158.1,260.5,724.7,1194.6,1.8,8.4,1.6,142.1
"Sveti Ivan Zelina",14602,185.94,78,227,1598,3472,10.9,23.8,8.6,18.7,1.6,1.2,2.2,15.3,14602,185.94,78,137,2192,5239,15.0,35.9,11.8,28.2,0.9,0.7,2.4,38.2,14602,185.94,78,238,2640,6462,18.1,44.3,14.2,34.8,1.6,1.3,2.4,27.2,14602,185.94,78,275,2979,7655,20.4,52.4,16.0,41.2,1.9,1.5,2.6,27.8
"Velika Gorica",61075,326.67,186,576,23161,38697,37.9,63.4,70.9,118.5,0.9,1.8,1.7,67.2,61075,326.67,186,621,39201,65098,64.2,106.6,120.0,199.3,1.0,1.9,1.7,104.8,61075,326.67,186,711,49367,74268,80.8,121.6,151.1,227.3,1.2,2.2,1.5,104.5,61075,326.67,186,839,60946,90074,99.8,147.5,186.6,275.7,1.4,2.6,1.5,107.4
"Vrbovec",12981,160.80,80,33,z,z,z,z,z,z,0.3,0.2,z,z,12981,160.80,80,36,z,z,z,z,z,z,0.3,0.2,z,z,12981,160.80,80,40,874,2251,6.7,17.3,5.4,14.0,0.3,0.2,2.6,56.3,12981,160.80,80,62,1176,3108,9.1,23.9,7.3,19.3,0.5,0.4,2.6,50.1
"Zaprešiæ",24133,53.94,447,167,2794,5288,11.6,21.9,51.8,98.0,0.7,3.1,1.9,31.7,24133,53.94,447,169,4887,8330,20.3,34.5,90.6,154.4,0.7,3.1,1.7,49.3,24133,53.94,447,181,4997,9218,20.7,38.2,92.6,170.9,0.8,3.4,1.8,50.9,24133,53.94,447,124,4734,8330,19.6,34.5,87.8,154.4,0.5,2.3,1.8,67.2
"Žumberak",609,110.09,5,26,358,1476,58.8,242.4,3.3,13.4,4.3,0.2,4.1,56.8,609,110.09,5,42,455,1950,74.7,320.2,4.1,17.7,6.9,0.4,4.3,46.4,609,110.09,5,51,466,1911,76.5,313.8,4.2,17.4,8.4,0.5,4.1,37.5,609,110.09,5,68,637,2317,104.6,380.5,5.8,21.0,11.2,0.6,3.6,34.1
"County of Krapina-Zagorje",120702,1229.62,98,3259,151644,315268,125.6,261.2,123.3,256.4,2.7,2.7,2.1,96.7,120702,1229.62,98,3282,177266,383672,146.9,317.9,144.2,312.0,2.7,2.7,2.2,116.9,120702,1229.62,98,3395,191603,414222,158.7,343.2,155.8,336.9,2.8,2.8,2.2,122.0,120702,1229.62,98,3607,203259,435659,168.4,360.9,165.3,354.3,3.0,2.9,2.1,120.8
"Bedekovèina",7340,51.43,142,20,z,z,z,z,z,z,0.3,0.4,z,z,7340,51.43,142,22,z,z,z,z,z,z,0.3,0.4,z,z,7340,51.43,142,24,z,z,z,z,z,z,0.3,0.5,z,z,7340,51.43,142,16,z,z,z,z,z,z,0.2,0.3,z,z
"Budinšèina",2182,55.03,39,16,z,z,z,z,z,z,0.7,0.3,z,z,2182,55.03,39,-,-,-,-,-,-,-,-,-,-,-,2182,55.03,39,3,z,z,z,z,z,z,0.1,0.1,z,z,2182,55.03,39,-,-,-,-,-,-,-,-,-,-,-
"Desiniæ",2530,44.98,56,51,z,z,z,z,z,z,2.0,1.1,z,z,2530,44.98,56,45,z,z,z,z,z,z,1.8,1.0,z,z,2530,44.98,56,45,z,z,z,z,z,z,1.8,1.0,z,z,2530,44.98,56,53,z,z,z,z,z,z,2.1,1.2,z,z
"Donja Stubica",5326,43.54,122,317,14748,30664,276.9,575.7,338.7,704.3,6.0,7.3,2.1,96.7,5326,43.54,122,329,12829,26631,240.9,500.0,294.6,611.6,6.2,7.6,2.1,80.9,5326,43.54,122,343,17580,36380,330.1,683.1,403.8,835.6,6.4,7.9,2.1,106.1,5326,43.54,122,343,23667,49282,444.4,925.3,543.6,1131.9,6.4,7.9,2.1,143.7
"Ðurmanec",3781,57.81,65,12,868,1034,23.0,27.3,15.0,17.9,0.3,0.2,1.2,86.2,3781,57.81,65,12,921,1157,24.4,30.6,15.9,20.0,0.3,0.2,1.3,96.4,3781,57.81,65,14,767,917,20.3,24.3,13.3,15.9,0.4,0.2,1.2,65.5,3781,57.81,65,19,1900,2127,50.3,56.3,32.9,36.8,0.5,0.3,1.1,111.9
"Gornja Stubica",4622,48.68,94,56,916,1705,19.8,36.9,18.8,35.0,1.2,1.2,1.9,30.4,4622,48.68,94,67,1146,1682,24.8,36.4,23.5,34.6,1.4,1.4,1.5,25.1,4622,48.68,94,62,1459,2372,31.6,51.3,30.0,48.7,1.3,1.3,1.6,38.3,4622,48.68,94,73,1237,2338,26.8,50.6,25.4,48.0,1.6,1.5,1.9,32.0
"Hrašæina",1388,27.27,50,26,z,z,z,z,z,z,1.9,1.0,z,z,1388,27.27,50,29,361,839,26.0,60.4,13.2,30.8,2.1,1.1,2.3,28.9,1388,27.27,50,34,307,937,22.1,67.5,11.3,34.4,2.4,1.2,3.1,27.6,1388,27.27,50,48,662,1717,47.7,123.7,24.3,63.0,3.5,1.8,2.6,35.8
"Hum na Sutli",4592,36.91,124,12,z,z,z,z,z,z,0.3,0.3,z,z,4592,36.91,124,10,z,z,z,z,z,z,0.2,0.3,z,z,4592,36.91,124,10,z,z,z,z,z,z,0.2,0.3,z,z,4592,36.91,124,10,z,z,z,z,z,z,0.2,0.3,z,z
"Jesenje",1371,24.47,56,10,z,z,z,z,z,z,0.7,0.4,z,z,1371,24.47,56,10,z,z,z,z,z,z,0.7,0.4,z,z,1371,24.47,56,6,z,z,z,z,z,z,0.4,0.2,z,z,1371,24.47,56,12,z,z,z,z,z,z,0.9,0.5,z,z
"Klanjec",2548,25.62,99,42,410,993,16.1,39.0,16.0,38.8,1.6,1.6,2.4,23.6,2548,25.62,99,42,471,1087,18.5,42.7,18.4,42.4,1.6,1.6,2.3,25.9,2548,25.62,99,40,457,1060,17.9,41.6,17.8,41.4,1.6,1.6,2.3,26.5,2548,25.62,99,54,725,1492,28.5,58.6,28.3,58.2,2.1,2.1,2.1,27.6
"Konjšèina",3308,44.29,74,18,z,z,z,z,z,z,0.5,0.4,z,z,3308,44.29,74,29,465,1053,14.1,31.8,10.5,23.8,0.9,0.7,2.3,36.3,3308,44.29,74,37,292,1168,8.8,35.3,6.6,26.4,1.1,0.8,4.0,31.6,3308,44.29,74,51,466,1773,14.1,53.6,10.5,40.0,1.5,1.2,3.8,34.8
"Kraljevec na Sutli",1591,26.77,59,2,z,z,z,z,z,z,0.1,0.1,z,z,1591,26.77,59,14,z,z,z,z,z,z,0.9,0.5,z,z,1591,26.77,59,14,z,z,z,z,z,z,0.9,0.5,z,z,1591,26.77,59,15,z,z,z,z,z,z,0.9,0.6,z,z
"Krapina",11530,47.72,241,193,11897,14930,103.2,129.5,249.3,312.9,1.7,4.0,1.3,77.4,11530,47.72,241,256,13016,17304,112.9,150.1,272.8,362.6,2.2,5.4,1.3,67.6,11530,47.72,241,277,14685,20162,127.4,174.9,307.7,422.5,2.4,5.8,1.4,72.8,11530,47.72,241,303,14842,19965,128.7,173.2,311.0,418.4,2.6,6.3,1.3,65.9
"Krapinske Toplice",4827,48.83,98,231,13394,26642,277.5,551.9,274.3,545.6,4.8,4.7,2.0,115.3,4827,48.83,98,240,13697,29860,283.8,618.6,280.5,611.5,5.0,4.9,2.2,124.4,4827,48.83,98,283,14495,32932,300.3,682.2,296.8,674.4,5.9,5.8,2.3,116.4,4827,48.83,98,316,15370,36332,318.4,752.7,314.8,744.1,6.5,6.5,2.4,115.0
"Kumrovec",1412,17.52,80,83,792,1740,56.1,123.2,45.2,99.3,5.9,4.7,2.2,21.0,1412,17.52,80,32,797,2000,56.4,141.6,45.5,114.2,2.3,1.8,2.5,62.5,1412,17.52,80,34,913,2112,64.7,149.6,52.1,120.5,2.4,1.9,2.3,62.1,1412,17.52,80,39,567,1291,40.2,91.4,32.4,73.7,2.8,2.2,2.3,33.1
"Lobor",2703,43.23,62,-,-,-,-,-,-,-,-,-,-,-,2703,43.23,62,-,-,-,-,-,-,-,-,-,-,-,2703,43.23,62,-,-,-,-,-,-,-,-,-,-,-,2703,43.23,62,-,-,-,-,-,-,-,-,-,-,-
"Maèe",2258,27.79,81,-,-,-,-,-,-,-,-,-,-,-,2258,27.79,81,-,-,-,-,-,-,-,-,-,-,-,2258,27.79,81,4,z,z,z,z,z,z,0.2,0.1,z,z,2258,27.79,81,18,z,z,z,z,z,z,0.8,0.6,z,z
"Marija Bistrica",5553,68.56,80,155,6302,10216,113.5,184.0,91.9,149.0,2.8,2.3,1.6,65.9,5553,68.56,80,166,10671,16595,192.2,298.8,155.6,242.1,3.0,2.4,1.6,100.0,5553,68.56,80,163,12159,18096,219.0,325.9,177.3,263.9,2.9,2.4,1.5,111.0,5553,68.56,80,174,14242,20917,256.5,376.7,207.7,305.1,3.1,2.5,1.5,120.2
"Mihovljan",1677,26.17,64,4,z,z,z,z,z,z,0.2,0.2,z,z,1677,26.17,64,14,z,z,z,z,z,z,0.8,0.5,z,z,1677,26.17,64,10,z,z,z,z,z,z,0.6,0.4,z,z,1677,26.17,64,14,z,z,z,z,z,z,0.8,0.5,z,z
"Novi Golubovec",824,13.68,60,-,-,-,-,-,-,-,-,-,-,-,824,13.68,60,-,-,-,-,-,-,-,-,-,-,-,824,13.68,60,-,-,-,-,-,-,-,-,-,-,-,824,13.68,60,-,-,-,-,-,-,-,-,-,-,-
"Oroslavje",5834,32.05,182,270,z,z,z,z,z,z,4.6,8.4,z,z,5834,32.05,182,144,z,z,z,z,z,z,2.5,4.5,z,z,5834,32.05,182,148,z,z,z,z,z,z,2.5,4.6,z,z,5834,32.05,182,156,z,z,z,z,z,z,2.7,4.9,z,z
"Petrovsko",2270,18.86,120,-,-,-,-,-,-,-,-,-,-,-,2270,18.86,120,-,-,-,-,-,-,-,-,-,-,-,2270,18.86,120,-,-,-,-,-,-,-,-,-,-,-,2270,18.86,120,2,z,z,z,z,z,z,0.1,0.1,z,z
"Pregrada",5927,67.47,87,20,190,1005,3.2,17.0,2.8,14.9,0.3,0.3,5.3,50.3,5927,67.47,87,60,220,1199,3.7,20.2,3.3,17.8,1.0,0.9,5.5,20.0,5927,67.47,87,64,299,1629,5.0,27.5,4.4,24.1,1.1,0.9,5.4,25.5,5927,67.47,87,30,656,2310,11.1,39.0,9.7,34.2,0.5,0.4,3.5,77.0
"Radoboj",2981,33.06,90,28,z,z,z,z,z,z,0.9,0.8,z,z,2981,33.06,90,28,z,z,z,z,z,z,0.9,0.8,z,z,2981,33.06,90,32,1075,1612,36.1,54.1,32.5,48.8,1.1,1.0,1.5,50.4,2981,33.06,90,32,1540,1965,51.7,65.9,46.6,59.4,1.1,1.0,1.3,61.4
"Stubièke Toplice",2740,27.02,101,484,24427,61788,891.5,2255.0,904.0,2286.8,17.7,17.9,2.5,127.7,2740,27.02,101,488,32403,81056,1182.6,2958.2,1199.2,2999.9,17.8,18.1,2.5,166.1,2740,27.02,101,492,30590,76466,1116.4,2790.7,1132.1,2830.0,18.0,18.2,2.5,155.4,2740,27.02,101,514,29247,74126,1067.4,2705.3,1082.4,2743.4,18.8,19.0,2.5,144.2
"Sveti Križ Zaèretje",5659,40.23,140,76,1445,2283,25.5,40.3,35.9,56.7,1.3,1.9,1.6,30.0,5659,40.23,140,88,2202,3574,38.9,63.2,54.7,88.8,1.6,2.2,1.6,40.6,5659,40.23,140,100,2361,3948,41.7,69.8,58.7,98.1,1.8,2.5,1.7,39.5,5659,40.23,140,100,1680,3461,29.7,61.2,41.8,86.0,1.8,2.5,2.1,34.6
"Tuhelj",2043,23.92,85,934,56088,134035,2745.4,6560.7,2344.8,5603.5,45.7,39.0,2.4,143.5,2043,23.92,85,920,66614,167086,3260.6,8178.5,2784.9,6985.2,45.0,38.5,2.5,181.6,2043,23.92,85,909,70021,177489,3427.4,8687.7,2927.3,7420.1,44.5,38.0,2.5,195.3,2043,23.92,85,927,69363,172583,3395.2,8447.5,2899.8,7215.0,45.4,38.8,2.5,186.2
"Veliko Trgovišæe",4448,46.69,95,52,1435,2486,32.3,55.9,30.7,53.2,1.2,1.1,1.7,47.8,4448,46.69,95,70,1403,3190,31.5,71.7,30.0,68.3,1.6,1.5,2.3,45.6,4448,46.69,95,62,1994,4074,44.8,91.6,42.7,87.3,1.4,1.3,2.0,65.7,4448,46.69,95,73,2118,4717,47.6,106.0,45.4,101.0,1.6,1.6,2.2,64.6
"Zabok",8656,34.60,250,81,3441,5236,39.8,60.5,99.5,151.3,0.9,2.3,1.5,64.6,8656,34.60,250,93,4097,5558,47.3,64.2,118.4,160.6,1.1,2.7,1.4,59.8,8656,34.60,250,106,3748,6064,43.3,70.1,108.3,175.3,1.2,3.1,1.6,57.2,8656,34.60,250,128,6263,9968,72.4,115.2,181.0,288.1,1.5,3.7,1.6,77.9
"Zagorska Sela",899,24.67,36,26,320,618,35.6,68.7,13.0,25.1,2.9,1.1,1.9,23.8,899,24.67,36,32,452,1148,50.3,127.7,18.3,46.5,3.6,1.3,2.5,35.9,899,24.67,36,32,519,1361,57.7,151.4,21.0,55.2,3.6,1.3,2.6,42.5,899,24.67,36,36,568,1586,63.2,176.4,23.0,64.3,4.0,1.5,2.8,44.1
"Zlatar-Bistrica",2308,24.72,93,24,z,z,z,z,z,z,1.0,1.0,z,z,2308,24.72,93,16,z,z,z,z,z,z,0.7,0.6,z,z,2308,24.72,93,16,z,z,z,z,z,z,0.7,0.6,z,z,2308,24.72,93,16,z,z,z,z,z,z,0.7,0.6,z,z
"Zlatar",5574,76.03,73,16,z,z,z,z,z,z,0.3,0.2,z,z,5574,76.03,73,26,z,z,z,z,z,z,0.5,0.3,z,z,5574,76.03,73,31,z,z,z,z,z,z,0.6,0.4,z,z,5574,76.03,73,35,522,1701,9.4,30.5,6.9,22.4,0.6,0.5,3.3,48.6
"County of Varaždin",159487,1259.74,127,4170,72675,148509,45.6,93.1,57.7,117.9,2.6,3.3,2.0,35.6,159487,1259.74,127,4287,88592,202467,55.5,126.9,70.3,160.7,2.7,3.4,2.3,47.2,159487,1259.74,127,4079,103216,241220,64.7,151.2,81.9,191.5,2.6,3.2,2.3,59.1,159487,1259.74,127,4484,111629,254952,70.0,159.9,88.6,202.4,2.8,3.6,2.3,56.9
"Bednja",3389,76.17,44,270,z,z,z,z,z,z,8.0,3.5,z,z,3389,76.17,44,273,z,z,z,z,z,z,8.1,3.6,z,z,3389,76.17,44,274,z,z,z,z,z,z,8.1,3.6,z,z,3389,76.17,44,278,z,z,z,z,z,z,8.2,3.6,z,z
"Beretinec",2049,12.34,166,21,606,2263,29.6,110.4,49.1,183.4,1.0,1.7,3.7,107.8,2049,12.34,166,31,608,2709,29.7,132.2,49.3,219.5,1.5,2.5,4.5,87.4,2049,12.34,166,23,568,2214,27.7,108.1,46.0,179.4,1.1,1.9,3.9,96.3,2049,12.34,166,32,511,1996,24.9,97.4,41.4,161.8,1.6,2.6,3.9,62.4
"Breznica",1970,33.52,58,14,z,z,z,z,z,z,0.7,0.4,z,z,1970,33.52,58,5,z,z,z,z,z,z,0.3,0.1,z,z,1970,33.52,58,9,z,z,z,z,z,z,0.5,0.3,z,z,1970,33.52,58,4,z,z,z,z,z,z,0.2,0.1,z,z
"Breznièki Hum",1132,26.05,43,10,z,z,z,z,z,z,0.9,0.4,z,z,1132,26.05,43,12,z,z,z,z,z,z,1.1,0.5,z,z,1132,26.05,43,12,126,644,11.1,56.9,4.8,24.7,1.1,0.5,5.1,53.7,1132,26.05,43,12,z,z,z,z,z,z,1.1,0.5,z,z
"Cestica",5425,46.15,117,27,506,1352,9.3,24.9,11.0,29.3,0.5,0.6,2.7,50.1,5425,46.15,117,33,864,2264,15.9,41.7,18.7,49.1,0.6,0.7,2.6,68.6,5425,46.15,117,51,1082,2661,19.9,49.1,23.4,57.7,0.9,1.1,2.5,52.2,5425,46.15,117,57,1216,3283,22.4,60.5,26.3,71.1,1.1,1.2,2.7,57.6
"Donja Voæa",2030,36.00,56,5,255,643,12.6,31.7,7.1,17.9,0.2,0.1,2.5,128.6,2030,36.00,56,5,217,657,10.7,32.4,6.0,18.3,0.2,0.1,3.0,131.4,2030,36.00,56,5,281,884,13.8,43.5,7.8,24.6,0.2,0.1,3.1,176.8,2030,36.00,56,7,262,870,12.9,42.9,7.3,24.2,0.3,0.2,3.3,124.3
"Gornji Kneginec",4900,22.21,220,112,3359,7119,68.6,145.3,151.2,320.5,2.3,5.0,2.1,63.6,4900,22.21,220,138,4499,8538,91.8,174.2,202.6,384.4,2.8,6.2,1.9,61.9,4900,22.21,220,138,4804,10131,98.0,206.8,216.3,456.1,2.8,6.2,2.1,73.4,4900,22.21,220,154,5045,9886,103.0,201.8,227.1,445.1,3.1,6.9,2.0,64.2
"Ivanec",12723,95.92,132,72,3138,5296,24.7,41.6,32.7,55.2,0.6,0.8,1.7,73.6,12723,95.92,132,85,3532,6412,27.8,50.4,36.8,66.8,0.7,0.9,1.8,75.4,12723,95.92,132,105,3176,6256,25.0,49.2,33.1,65.2,0.8,1.1,2.0,59.6,12723,95.92,132,151,2788,5767,21.9,45.3,29.1,60.1,1.2,1.6,2.1,38.2
"Jalžabet",3183,37.99,83,53,433,1822,13.6,57.2,11.4,48.0,1.7,1.4,4.2,34.4,3183,37.99,83,56,736,3082,23.1,96.8,19.4,81.1,1.8,1.5,4.2,55.0,3183,37.99,83,58,1095,3809,34.4,119.7,28.8,100.3,1.8,1.5,3.5,65.7,3183,37.99,83,69,1517,4117,47.7,129.3,39.9,108.4,2.2,1.8,2.7,59.7
"Klenovnik",1793,25.74,69,12,z,z,z,z,z,z,0.7,0.5,z,z,1793,25.74,69,18,226,811,12.6,45.2,8.8,31.5,1.0,0.7,3.6,45.1,1793,25.74,69,9,z,z,z,z,z,z,0.5,0.3,z,z,1793,25.74,69,11,414,1258,23.1,70.2,16.1,48.9,0.6,0.4,3.0,114.4
"Lepoglava",6945,65.95,105,24,z,z,z,z,z,z,0.3,0.4,z,z,6945,65.95,105,28,650,1694,9.4,24.4,9.9,25.7,0.4,0.4,2.6,60.5,6945,65.95,105,38,801,2006,11.5,28.9,12.1,30.4,0.5,0.6,2.5,52.8,6945,65.95,105,58,920,2998,13.2,43.2,13.9,45.5,0.8,0.9,3.3,51.7
"Ludbreg",8477,74.25,114,188,4170,8711,49.2,102.8,56.2,117.3,2.2,2.5,2.1,46.3,8477,74.25,114,176,5687,15238,67.1,179.8,76.6,205.2,2.1,2.4,2.7,86.6,8477,74.25,114,209,4991,16532,58.9,195.0,67.2,222.7,2.5,2.8,3.3,79.1,8477,74.25,114,265,6415,17831,75.7,210.3,86.4,240.1,3.1,3.6,2.8,67.3
"Ljubešæica",1689,35.27,47,-,-,-,-,-,-,-,-,-,-,-,1689,35.27,47,-,-,-,-,-,-,-,-,-,-,-,1689,35.27,47,4,z,z,z,z,z,z,0.2,0.1,z,z,1689,35.27,47,12,z,z,z,z,z,z,0.7,0.3,z,z
"Mali Bukovec",1809,36.57,49,-,-,-,-,-,-,-,-,-,-,-,1809,36.57,49,6,z,z,z,z,z,z,0.3,0.2,z,z,1809,36.57,49,6,z,z,z,z,z,z,0.3,0.2,z,z,1809,36.57,49,6,z,z,z,z,z,z,0.3,0.2,z,z
"Martijanec",2638,49.05,53,14,z,z,z,z,z,z,0.5,0.3,z,z,2638,49.05,53,24,171,1121,6.5,42.5,3.5,22.9,0.9,0.5,6.6,46.7,2638,49.05,53,18,z,z,z,z,z,z,0.7,0.4,z,z,2638,49.05,53,18,z,z,z,z,z,z,0.7,0.4,z,z
"Maruševec",5682,49.98,113,137,z,z,z,z,z,z,2.4,2.7,z,z,5682,49.98,113,143,z,z,z,z,z,z,2.5,2.9,z,z,5682,49.98,113,129,z,z,z,z,z,z,2.3,2.6,z,z,5682,49.98,113,143,z,z,z,z,z,z,2.5,2.9,z,z
"Novi Marof",11795,111.86,105,769,1189,3643,10.1,30.9,10.6,32.6,6.5,6.9,3.1,4.7,11795,111.86,105,383,1099,4566,9.3,38.7,9.8,40.8,3.2,3.4,4.2,11.9,11795,111.86,105,93,1284,5226,10.9,44.3,11.5,46.7,0.8,0.8,4.1,56.2,11795,111.86,105,102,1092,4775,9.3,40.5,9.8,42.7,0.9,0.9,4.4,46.8
"Petrijanec",4553,47.93,94,18,z,z,z,z,z,z,0.4,0.4,z,z,4553,47.93,94,6,z,z,z,z,z,z,0.1,0.1,z,z,4553,47.93,94,7,z,z,z,z,z,z,0.2,0.1,z,z,4553,47.93,94,13,z,z,z,z,z,z,0.3,0.3,z,z
"Sraèinec",4678,23.50,199,6,z,z,z,z,z,z,0.1,0.3,z,z,4678,23.50,199,6,z,z,z,z,z,z,0.1,0.3,z,z,4678,23.50,199,6,z,z,z,z,z,z,0.1,0.3,z,z,4678,23.50,199,6,z,z,z,z,z,z,0.1,0.3,z,z
"Sveti Ðurð",3326,45.87,72,-,-,-,-,-,-,-,-,-,-,-,3326,45.87,72,2,z,z,z,z,z,z,0.1,0.0,z,z,3326,45.87,72,2,z,z,z,z,z,z,0.1,0.0,z,z,3326,45.87,72,2,z,z,z,z,z,z,0.1,0.0,z,z
"Sveti Ilija",3242,17.26,187,29,300,1545,9.3,47.7,17.4,89.5,0.9,1.7,5.2,53.3,3242,17.26,187,31,355,2005,11.0,61.8,20.6,116.2,1.0,1.8,5.6,64.7,3242,17.26,187,43,531,2471,16.4,76.2,30.8,143.2,1.3,2.5,4.7,57.5,3242,17.26,187,49,811,2814,25.0,86.8,47.0,163.0,1.5,2.8,3.5,57.4
"Trnovec Bartoloveèki",6145,38.68,158,-,-,-,-,-,-,-,-,-,-,-,6145,38.68,158,4,z,z,z,z,z,z,0.1,0.1,z,z,6145,38.68,158,4,z,z,z,z,z,z,0.1,0.1,z,z,6145,38.68,158,8,z,z,z,z,z,z,0.1,0.2,z,z
"Varaždin",43782,59.88,731,1502,25630,53440,58.5,122.1,428.0,892.5,3.4,25.1,2.1,35.6,43782,59.88,731,1920,34221,67241,78.2,153.6,571.5,1122.9,4.4,32.1,2.0,35.0,43782,59.88,731,1959,41518,80340,94.8,183.5,693.4,1341.7,4.5,32.7,1.9,41.0,43782,59.88,731,2007,44566,81186,101.8,185.4,744.3,1355.8,4.6,33.5,1.8,40.5
"Varaždinske Toplice",5537,79.15,69,850,7938,22662,143.4,409.3,100.3,286.3,15.4,10.7,2.9,26.7,5537,79.15,69,857,12683,45066,229.1,813.9,160.2,569.4,15.5,10.8,3.6,52.6,5537,79.15,69,807,13847,55954,250.1,1010.5,174.9,706.9,14.6,10.2,4.0,69.3,5537,79.15,69,938,15087,64149,272.5,1158.6,190.6,810.5,16.9,11.9,4.3,68.4
"Veliki Bukovec",1325,23.19,57,10,z,z,z,z,z,z,0.8,0.4,z,z,1325,23.19,57,10,z,z,z,z,z,z,0.8,0.4,z,z,1325,23.19,57,10,z,z,z,z,z,z,0.8,0.4,z,z,1325,23.19,57,10,z,z,z,z,z,z,0.8,0.4,z,z
"Vidovec",4915,32.08,153,2,z,z,z,z,z,z,0.0,0.1,z,z,4915,32.08,153,2,z,z,z,z,z,z,0.0,0.1,z,z,4915,32.08,153,6,z,z,z,z,z,z,0.1,0.2,z,z,4915,32.08,153,6,z,z,z,z,z,z,0.1,0.2,z,z
"Vinica",3020,32.35,93,25,687,1673,22.7,55.4,21.2,51.7,0.8,0.8,2.4,66.9,3020,32.35,93,29,767,1981,25.4,65.6,23.7,61.2,1.0,0.9,2.6,68.3,3020,32.35,93,50,897,2760,29.7,91.4,27.7,85.3,1.7,1.5,3.1,55.2,3020,32.35,93,60,1257,3404,41.6,112.7,38.9,105.2,2.0,1.9,2.7,56.7
"Visoko",1335,24.83,53,-,-,-,-,-,-,-,-,-,-,-,1335,24.83,53,4,z,z,z,z,z,z,0.3,0.2,z,z,1335,24.83,53,4,z,z,z,z,z,z,0.3,0.2,z,z,1335,24.83,53,6,z,z,z,z,z,z,0.4,0.2,z,z
